Tiempo(minutos),Temperatura Grados Celsius
0,2.6
1,2
2,2.2
3,2.2
4,1.6
5,1.2
6,1.2
7,1
8,0.9
9,0.6
10,-200
11,0.7
12,0.7
13,1.1
14,2
15,2.2
16,1.7
17,1.5
18,1.6
19,1.9
20,2.9
21,2.2
22,2.2
23,2.9
24,4.8
25,6.9
26,6.1
27,3.9
28,1.5
29,1
30,1.7
31,1.9
32,1.4
33,0.8
34,-200
35,0.6
36,0.8
37,1.4
38,4.4
39,-200
40,3.1
41,2.7
42,2.1
43,2.5
44,2.7
45,2.9
46,2.8
47,2.4
48,3.9
49,3.7
50,6.6
51,4.4
52,3.5
53,5.4
54,2.7
55,1.9
56,1.6
57,1.7
58,-200
59,1
60,1.2
61,1.5
62,2.7
63,3.7
64,3.2
65,4.1
66,3.6
67,2.8
68,2
69,2
70,2.5
71,2.3
72,3.2
73,4.2
74,4.2
75,4.2
76,3.1
77,2.6
78,2.9
79,2.8
80,2.5
81,2.4
82,-200
83,1.2
84,1
85,0.9
86,1.4
87,1.6
88,2.2
89,2.8
90,2.8
91,2
92,1.8
93,1.9
94,3
95,2.9
96,2.5
97,4.6
98,5.9
99,3.4
100,2.1
101,2.2
102,1.8
103,1.8
104,1.8
105,1.1
106,-200
107,1
108,1.4
109,2.2
110,5.5
111,8.1
112,5.8
113,4.2
114,3.1
115,2.9
116,2.9
117,2.5
118,2.3
119,2.8
120,6.1
121,8
122,6.5
123,4.2
124,3.2
125,1.4
126,2.1
127,1.2
128,0.8
129,0.7
130,-200
131,0.6
132,0.9
133,1.3
134,3.4
135,3.7
136,5.3
137,4.1
138,3.3
139,4
140,3.8
141,2.8
142,2.9
143,2.9
144,3.4
145,3.9
146,3.2
147,5.1
148,2.6
149,1.7
150,1.7
151,1.2
152,0.9
153,0.7
154,-200
155,0.5
156,0.5
157,1.6
158,4.1
159,6.6
160,4.3
161,2.9
162,2.5
163,2.8
164,2.6
165,2
166,2.9
167,2.5
168,5
169,7.6
170,6.7
171,5.7
172,2.8
173,2.6
174,2.3
175,1.4
176,1
177,0.7
178,-200
179,0.6
180,0.7
181,1.5
182,4.7
183,6.6
184,4.5
185,2.8
186,2.2
187,2.2
188,2.3
189,2.2
190,2.8
191,2.7
192,3.7
193,5.1
194,5.1
195,3.2
196,2.1
197,1.7
198,2
199,1.6
200,0.9
201,0.7
202,-200
203,0.5
204,0.7
205,1.5
206,4.8
207,6.2
208,4
209,3.3
210,2.8
211,3
212,3.3
213,3.5
214,4
215,4.6
216,4.1
217,4.5
218,3.9
219,4
220,2.2
221,2.1
222,1.7
223,1.6
224,1.3
225,1.3
226,-200
227,0.8
228,0.8
229,1.1
230,2.1
231,2.4
232,2.6
233,2.8
234,2.6
235,2.6
236,2.1
237,1.7
238,1.6
239,2.1
240,2.3
241,3.5
242,3.9
243,3.3
244,2.3
245,2.1
246,2.8
247,2.1
248,1.6
249,1.6
250,-200
251,1.1
252,0.7
253,0.8
254,1.2
255,1.4
256,1.7
257,1.8
258,1.8
259,1.9
260,1.3
261,1.6
262,1.9
263,2.3
264,3.8
265,3.5
266,4.3
267,2.8
268,1.9
269,1.9
270,1.7
271,1.5
272,0.6
273,0.4
274,-200
275,0.3
276,0.6
277,1.2
278,3.6
279,3.7
280,1.8
281,1.6
282,1.9
283,2
284,2.2
285,2.1
286,2.3
287,2.6
288,3.8
289,4.4
290,4.5
291,3.3
292,2
293,1.1
294,0.9
295,0.8
296,0.7
297,0.5
298,-200
299,0.3
300,0.5
301,1.1
302,3
303,3.8
304,3.4
305,3
306,2.7
307,3.5
308,2.8
309,1.9
310,2
311,3
312,1.9
313,2.7
314,3.3
315,1.7
316,1.3
317,1.3
318,1.2
319,1.1
320,0.9
321,0.6
322,-200
323,0.6
324,0.8
325,1.2
326,3.1
327,4.4
328,3.4
329,1.7
330,1.5
331,1.7
332,2.2
333,-200
334,2.7
335,2.8
336,2.7
337,4.5
338,3.5
339,2.6
340,1.7
341,1.3
342,1.3
343,1
344,0.7
345,0.7
346,0.5
347,0.5
348,0.6
349,1.1
350,2.7
351,3.5
352,2.3
353,1.6
354,1.3
355,2
356,1.9
357,1.9
358,2.2
359,2
360,2.9
361,5.2
362,4.6
363,2.5
364,1.5
365,1.2
366,1.7
367,1.4
368,1.2
369,0.6
370,0.7
371,0.8
372,0.9
373,1.6
374,3.4
375,3.8
376,3.1
377,2.7
378,2
379,2.3
380,1.9
381,1.3
382,1.9
383,2.3
384,2.4
385,2.7
386,2.6
387,1.5
388,1.2
389,1.1
390,1.5
391,1
392,1.2
393,1.1
394,-200
395,0.8
396,0.9
397,1.1
398,1.5
399,1.8
400,2.1
401,2.1
402,1.9
403,2.1
404,2.5
405,1.9
406,2.2
407,2.3
408,2.7
409,3
410,2.8
411,2.2
412,1.6
413,2.1
414,2.3
415,2.3
416,1.7
417,2.2
418,1.3
419,0.8
420,1.1
421,1.4
422,1.3
423,1.9
424,2.3
425,2.3
426,1.8
427,1.4
428,1
429,1.4
430,1.3
431,1.3
432,1.4
433,1.9
434,1.8
435,1.1
436,1.1
437,1.1
438,0.9
439,0.6
440,0.5
441,0.7
442,0.6
443,0.7
444,0.9
445,2.9
446,4.1
447,1.5
448,1.5
449,1.5
450,1.4
451,1.6
452,1.5
453,1.4
454,1.5
455,1.9
456,2.5
457,2.1
458,1.6
459,1.2
460,1.1
461,1
462,1
463,0.7
464,0.7
465,0.8
466,-200
467,0.7
468,1.1
469,2.6
470,4
471,4.2
472,4.7
473,3.9
474,3.7
475,3.4
476,2.2
477,1.9
478,1.6
479,2.1
480,2.2
481,2.7
482,2.4
483,1.3
484,1.2
485,1.5
486,1.3
487,1
488,0.9
489,0.5
490,0.5
491,0.6
492,1
493,3.1
494,4.1
495,2.2
496,1.7
497,1.9
498,2.9
499,2.2
500,2.6
501,3.1
502,2.3
503,2.4
504,2.8
505,2.7
506,2.3
507,1.5
508,1.4
509,1.2
510,1.6
511,1.2
512,1.1
513,0.9
514,0.7
515,0.9
516,1.7
517,4.2
518,6.2
519,4.6
520,2.8
521,1.6
522,1.7
523,1.7
524,1.7
525,1.9
526,2.3
527,3.3
528,4.2
529,5.5
530,4.9
531,2.5
532,2
533,2
534,2
535,1.3
536,1
537,0.9
538,-200
539,0.7
540,1.1
541,2.6
542,3.9
543,5
544,3.3
545,2.9
546,3.1
547,3
548,2.7
549,2.7
550,2.6
551,3.7
552,4.5
553,4.7
554,5.5
555,3
556,1.9
557,2.3
558,1.6
559,1.3
560,1.2
561,0.9
562,0.8
563,0.8
564,0.9
565,2
566,3
567,3.1
568,-200
569,-200
570,-200
571,-200
572,-200
573,-200
574,-200
575,-200
576,-200
577,-200
578,-200
579,-200
580,-200
581,-200
582,-200
583,-200
584,-200
585,-200
586,-200
587,-200
588,-200
589,-200
590,-200
591,-200
592,-200
593,-200
594,-200
595,-200
596,-200
